parameter,type,unit,required,default,description,example_value,notes
zip_code,string,—,Yes,—,US ZIP code for the project site. Used for soil thermal properties and climate zone lookup.,60601,5-digit US ZIP only. Non-US sites not supported in v1.
building_type,enum,—,Yes,—,"DOE prototype building type. Determines baseline load profile, floor area, and occupancy schedule.",medium_office,"Options: small_office, medium_office, large_office, primary_school, secondary_school, standalone_retail, retail_stripmall, warehouse, outpatient_healthcare"
floor_area_m2,float,m²,No,DOE prototype area,Total conditioned floor area across all floors. Footprint = floor_area / num_floors.,2800,Leave blank to use DOE prototype default. Must be > 10 m².
num_floors,integer,—,No,DOE prototype count,Number of above-grade floors. Used to compute building footprint for borefield layout.,3,Affects footprint area and borehole field sizing. Leave blank for prototype default.
year_built,integer,year,No,Current year (new),Year the building was built or last major envelope renovation. Used for building age adjustment.,1990,"Tiers: pre-1980 (leaky), 1980–2005 (standard), 2006–present (modern/code). Set 0 for planned/new construction."
glazing_type,enum,—,No,double_low_e,"Glazing quality tier. Bundles U-factor and SHGC. SHGC dominates cooling load sensitivity (13× more than U-factor per EnergyPlus study).",double_low_e,"Options: triple_low_e (annual loads ×0.77–0.91 vs baseline), double_low_e (baseline), double_pane (×0.98–1.24), single_pane (×2.24 heat / ×1.29 cool). Ranges from 8-city × 3-type sensitivity study."
infiltration_level,enum,—,No,standard,Air tightness of the building envelope. Dominates heating load in cold climates.,standard,"Options: tight (annual heating ×0.81 vs baseline), standard (baseline), leaky (annual heating ×1.57). From EnergyPlus sensitivity study."
wwr,float,fraction,No,0.20 (20%),"Window-to-wall ratio. Fraction of exterior wall area that is glazed. Affects solar gain and conduction loss. Baseline is 20%; each 10pp increase adds ~3–5% to annual cooling load.",0.30,"Range 0.10–0.90. At wwr=70%: annual heating ×1.45, annual cooling ×1.26 vs wwr=20% baseline. From EnergyPlus sensitivity study."
borehole_spacing,float,m,No,6.0,Center-to-center spacing between boreholes in the field.,6,Typical range 5–8 m. Closer spacing causes thermal interference between boreholes over time.
footprint_shape,enum,—,No,square,Shape of the borehole field layout. Affects how many boreholes fit in the available footprint.,square,"Options: square (1:1), elongated (9:1 — for hotel/linear wing)"
target_depth,float,m,No,125,Preferred average borehole depth. Optimizer may go deeper if footprint is constrained.,125,Minimum 100 m (required). Typical US range 100–150 m. Deeper = fewer boreholes needed but higher drilling cost.
num_boreholes,integer,—,No,Optimizer output,Expert override: fix the borehole count instead of letting the optimizer determine it.,20,Leave blank in normal use. Only override if site survey has determined a fixed field size.
soil_confidence,enum,—,No,medium,"Confidence in the soil thermal conductivity estimate. Affects best/base/worst cost range width.",medium,"Options: high (lab test available), medium (regional estimate), low (no site data)"
